source_id,source_id_edr3,in_SetA,in_SetB,n_cdips_sector,period,lspval,nequal,nclose,nfaint,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,subcluster,in_CG18,in_KC19,in_M21,(Bp-Rp)_0,is_phot_bin,is_astrm_bin,ruwe,Li_EW_mA_GaiaESO,Li_EW_mA_perr_GaiaESO,Li_EW_mA_merr_GaiaESO,Li_EW_mA_GALAH,Li_EW_mA_perr_GALAH,Li_EW_mA_merr_GALAH
5290435716152603008,5290435716152603008,1,1,3,2.0993,0.2908,0,1,1,122.6408750393,-60.1662868811,2015.5,2.398,0.021,-5.769,10.605,12.259,12.571,11.789,24.72,0.87,halo,0,1,1,0.648,0,0,0.964,,,,,,
5289999862870907776,5289999862870907776,1,1,6,1.882,0.3725,0,1,1,120.8580746613,-60.981007105,2015.5,2.417,0.057,-4.317,11.179,16.847,17.963,15.808,,,core,1,1,0,2.021,0,0,0.957,,,,,,
5291648889794342912,5291648889794342912,1,1,3,0.2372,0.474,0,1,2,122.839066386,-58.0750978843,2015.5,2.468,0.03,-5.252,10.615,15.825,16.695,14.901,,,halo,0,1,1,1.659,0,0,0.987,,,,,,
5290667713106775040,5290667713106775040,1,1,6,3.4356,0.3882,0,1,1,119.5990151383,-61.0622968648,2015.5,2.438,0.016,-5.62,11.688,12.975,13.366,12.423,19.6,2.77,core,1,1,0,0.808,0,0,1.093,116.3,5.0,5.0,,,
5290821438576074752,5290821438576074752,1,1,4,0.6516,0.1637,0,1,1,119.7161000989,-60.5889321476,2015.5,2.422,0.018,-4.857,11.065,14.497,15.065,13.778,,,core,1,1,1,1.152,0,0,1.075,,,,,,
5294055789465874304,5294055789465874304,1,1,5,10.8733,0.2867,0,1,1,116.9533304694,-59.8168098108,2015.5,2.361,0.025,-3.732,11.088,15.583,16.347,14.731,,,halo,0,1,1,1.482,0,0,1.011,,,,,,
5289469657746670208,5289469657746670208,1,1,7,0.2569,0.7811,0,1,2,116.936298961,-60.7183108229,2015.5,2.469,0.02,-4.372,12.02,11.903,12.247,11.367,,,halo,0,1,1,0.745,1,0,0.881,,,,,,
5290854011608101760,5290854011608101760,1,1,5,0.3336,0.8754,0,1,1,120.6400401977,-60.2002217714,2015.5,2.391,0.023,-4.785,11.858,15.281,16.053,14.408,,,core,1,1,0,1.511,0,0,1.004,,,,,,
5291008596069161856,5291008596069161856,1,1,4,0.4738,0.2109,0,1,1,117.9655488459,-60.2033336125,2015.5,2.656,0.092,-3.664,10.969,14.068,14.681,13.318,,,halo,0,1,0,1.228,1,1,7.374,,,,,,
5294904646803624320,5294904646803624320,1,1,2,2.9446,0.4521,0,1,1,119.1663463993,-57.4245864808,2015.5,2.226,0.012,-4.533,10.108,13.277,13.722,12.668,28.91,2.74,halo,0,1,1,0.92,1,0,1.035,,,,,,
5290944583876613504,5290944583876613504,1,1,6,9.3903,0.1168,0,1,2,118.4099000841,-60.402715878,2015.5,2.548,0.176,-5.769,11.091,15.434,16.245,14.533,,,core,1,0,0,1.578,0,1,4.999,,,,,,
5288328811353971584,5288328811353971584,1,1,6,1.9507,0.2577,0,1,1,118.5867360577,-62.338196677,2015.5,2.402,0.019,-4.35,11.755,12.506,12.862,11.986,21.01,3.74,halo,0,1,1,0.742,0,0,1.13,,,,,,
5289926676628726400,5289926676628726400,1,1,7,5.6508,0.3583,0,1,1,120.9723418931,-61.5255388426,2015.5,2.492,0.02,-5.076,11.293,13.672,14.139,13.058,,,halo,0,1,1,0.947,0,0,1.017,,,,,,
5290782023655716736,5290782023655716736,1,1,4,1.8961,0.1595,0,1,1,121.0177466316,-60.6509399903,2015.5,2.434,0.021,-5.15,11.218,12.273,12.582,11.805,27.93,2.44,core,1,1,1,0.643,0,0,1.116,,,,,,
5489633344403065728,5489633344403065728,1,1,1,0.964,0.3814,0,1,2,115.9238472411,-53.1197843581,2015.5,1.734,0.058,-2.657,7.664,16.726,17.621,15.793,,,halo,0,1,0,1.694,0,0,1.025,,,,,,
5291130263903361280,5291130263903361280,1,1,4,8.7317,0.3177,0,1,1,119.2944451777,-59.3740046835,2015.5,2.456,0.02,-4.558,11.399,14.721,15.354,13.958,,,halo,0,1,1,1.262,0,1,1.268,,,,,,
